id;region_id;distrito;superficie_km2
1;PY-11;Areguá;110
2;PY-11;Capiatá;83
3;PY-11;Fernando de la Mora;21
4;PY-11;Guarambaré;59
5;PY-11;Itá;190
6;PY-11;Itauguá;122
7;PY-11;Lambaré;39
8;PY-11;Limpio;118
9;PY-11;Luque;203
10;PY-11;Mariano Roque Alonso;50
11;PY-11;Nueva Italia;312
12;PY-11;Ñemby;40
13;PY-11;San Antonio;29
14;PY-11;San Lorenzo;41
15;PY-11;Villa Elisa;22
16;PY-11;Villeta;888
17;PY-11;Ypacaraí;111
18;PY-11;Ypané;54
19;PY-11;Julián Augusto Saldívar;51
1;PY-1;Concepción;
2;PY-1;BELEN;
3;PY-1;HORQUETA;
4;PY-1;LORETO;
5;PY-1;SAN CARLOS;
6;PY-1;SAN LAZARO;
7;PY-1;YVY YA'U;
8;PY-1;AZOTEY;
9;PY-1;SGTO. JOSE FELIX LOPEZ;
10;PY-1;SAN ALFREDO;
11;PY-1;PASO BARRETO;
1;PY-2;SAN PEDRO DEL YKUAMANDIYU;
2;PY-2;ANTEQUERA;
3;PY-2;CHORE;
4;PY-2;GENERAL ELIZARDO AQUINO;
5;PY-2;ITACURUBI DEL ROSARIO;
6;PY-2;LIMA;
7;PY-2;NUEVA GERMANIA;
8;PY-2;SAN ESTANISLAO;
9;PY-2;SAN PABLO;
10;PY-2;TACUATI;
11;PY-2;UNION;
12;PY-2;25 DE DICIEMBRE;
13;PY-2;VILLA DEL ROSARIO;
14;PY-2;GENERAL RESQUIN;
15;PY-2;YATAITY DEL NORTE;
16;PY-2;GUAJAYVI;
17;PY-2;CAPIIBARY;
18;PY-2;SANTA ROSA DEL AGUARAY;
19;PY-2;YRYVU CUA;
20;PY-2;LIBERACION;
